num_l	meter	ces_3	ces_4	ces_5	ces_6	ces_7
1	11	3NA	4épC	5NA	6NA	7NA
2	10	3NA	4ma	5NA	6NA	7épV
3	12	3NA	4NA	5NA	6NA	7NA
4	10	3NA	4ma	5NA	6ma	7ma
5	10	3ma	4ma	5NA	6ma	7NA
6	10	3NA	4ma	5NA	6NA	7ma
7	10	3NA	4ma	5NA	6ma	7NA
8	11	3NA	4épC	5NA	6NA	7NA
9	11	3NA	4épC	5NA	6NA	7NA
10	10	3NA	4ma	5ma	6ma	7ma
11	10	3NA	4ma	5NA	6ma	7ma
12	11	3NA	4NA	5NA	6épC	7NA
13	11	3NA	4épC	5NA	6NA	7épC
14	10	3ma	4ma	5NA	6ma	7NA
15	10	3NA	4ma	5NA	6NA	7ma
16	10	3NA	4ma	5ma	6ma	7ma
17	11	3NA	4épC	5NA	6NA	7NA
18	10	3NA	4ma	5NA	6ma	7NA
19	10	3NA	4ma	5NA	6épV	7NA
20	10	3NA	4ma	5NA	6NA	7ma
21	10	3NA	4ej	5ly	6NA	7ej
22	10	3NA	4ma	5ej	6ly	7ma
23	11	3NA	4épC	5NA	6NA	7NA
24	11	3NA	4épC	5NA	6NA	7NA
25	11	3NA	4épC	5NA	6NA	7NA
26	11	3NA	4épC	5NA	6NA	7NA
27	10	3NA	4ma	5NA	6ma	7NA
28	11	3NA	4épC	5NA	6NA	7NA
29	11	3NA	4épC	5NA	6NA	7NA
30	11	3NA	4épC	5NA	6NA	7NA
31	10	3NA	4ma	5ma	6ma	7ma
32	10	3NA	4ma	5NA	6ma	7NA
33	11	3NA	4épC	5NA	6NA	7NA
34	11	3NA	4épC	5NA	6NA	7NA
35	11	3NA	4épC	5NA	6NA	7NA
36	11	3NA	4épC	5NA	6NA	7NA
37	10	3ma	4ma	5NA	6NA	7NA
38	10	3NA	4NA	5ma	6NA	7épV
39	11	3NA	4épC	5NA	6NA	7NA
40	11	3NA	4NA	5NA	6épC	7NA
41	12	3NA	4NA	5NA	6NA	7NA
42	11	3NA	4épC	5NA	6NA	7épC
43	10	3NA	4ma	5ma	6ma	7NA
44	10	3NA	4ma	5NA	6NA	7ej
45	10	3NA	4ma	5ej	6ly	7épV
46	10	3ma	4ej	5ly	6NA	7ma
47	11	3NA	4épC	5NA	6NA	7NA
48	10	3NA	4ma	5NA	6NA	7ma
49	10	3ma	4ma	5ma	6NA	7NA
50	10	3NA	4ma	5ma	6ma	7ma
51	11	3NA	4épC	5NA	6NA	7NA
52	11	3NA	4épC	5NA	6NA	7NA
53	10	3NA	4épV	5NA	6NA	7ma
54	11	3NA	4épC	5NA	6NA	7épC
55	10	3NA	4ej	5ly	6NA	7ma
56	10	3NA	4ma	5NA	6NA	7ma
57	11	3NA	4épC	5NA	6NA	7NA
58	10	3ma	4ma	5NA	6ma	7NA
59	10	3ma	4NA	5NA	6ma	7NA
60	10	3NA	4ma	5NA	6ma	7NA
61	11	3NA	4épC	5NA	6épC	7NA
62	10	3NA	4ma	5NA	6ma	7ma
63	11	3NA	4épC	5NA	6NA	7NA
64	11	3NA	4épC	5NA	6NA	7NA
65	10	3ma	4ma	5NA	6NA	7NA
66	11	3NA	4épC	5NA	6NA	7NA
67	10	3NA	4ma	5NA	6NA	7ma
68	11	3NA	4épC	5NA	6NA	7NA
69	11	3NA	4épC	5NA	6NA	7NA
70	11	3NA	4épC	5NA	6NA	7NA
71	10	3NA	4ma	5NA	6ma	7NA
72	11	3NA	4épC	5NA	6NA	7épC
73	10	3NA	4ma	5ma	6ma	7ma
74	10	3NA	4ma	5NA	6NA	7ej
75	9	3NA	4NA	5NA	6NA	7NA
76	10	3NA	4ma	5NA	6NA	7ma
77	10	3ma	4épV	5NA	6NA	7NA
78	10	3NA	4ma	5NA	6ma	7ma
79	11	3NA	4épC	5NA	6épC	7NA
80	10	3ly	4épV	5NA	6ma	7ma
81	11	3NA	4épC	5NA	6NA	7NA
82	11	3NA	4épC	5NA	6NA	7NA
83	10	3NA	4ma	5ma	6NA	7NA
84	10	3NA	4NA	5NA	6ej	7ly
85	10	3NA	4ma	5NA	6ma	7NA
86	10	3NA	4ma	5NA	6NA	7ma
87	11	3NA	4épC	5NA	6NA	7NA
88	11	3NA	4épC	5NA	6NA	7NA
89	11	3NA	4épC	5NA	6NA	7NA
90	11	3NA	4épC	5NA	6NA	7NA
91	10	3NA	4ma	5NA	6ma	7NA
92	10	3NA	4ma	5NA	6NA	7ma
93	11	3NA	4épC	5NA	6NA	7NA
94	11	3NA	4épC	5NA	6NA	7NA
95	11	3NA	4NA	5NA	6NA	7épC
96	10	3NA	4ma	5ma	6ma	7NA
97	11	3NA	4épC	5NA	6NA	7NA
98	11	3NA	4épC	5NA	6NA	7NA
99	10	3NA	4ma	5ma	6NA	7ma
100	10	3NA	4ma	5NA	6ma	7NA
101	11	3NA	4NA	5NA	6épC	7NA
102	11	3NA	4épC	5NA	6NA	7NA
103	11	3NA	4épC	5NA	6NA	7NA
104	10	3ma	4ma	5NA	6NA	7ma
105	10	3NA	4ma	5NA	6NA	7ma
106	11	3NA	4épC	5NA	6NA	7NA
107	11	3NA	4épC	5NA	6épC	7NA
108	11	3NA	4épC	5NA	6NA	7NA
109	10	3NA	4ma	5ma	6ma	7NA
110	11	3NA	4épC	5NA	6NA	7NA
111	11	3NA	4épC	5NA	6NA	7NA
112	11	3NA	4épC	5NA	6NA	7épC
113	10	3NA	4ma	5NA	6ej	7ly
114	11	3NA	4épC	5NA	6NA	7NA
115	11	3NA	4épC	5NA	6NA	7NA
116	11	3NA	4épC	5NA	6NA	7épC
117	11	3NA	4épC	5NA	6NA	7NA
118	10	3NA	4épV	5ma	6NA	7ej
119	10	3NA	4ma	5NA	6NA	7NA
120	11	3NA	4épC	5NA	6épC	7NA
121	11	3NA	4épC	5NA	6NA	7NA
122	10	3NA	4ma	5NA	6NA	7ma
123	10	3ma	4ma	5NA	6NA	7ma
124	10	3ma	4épV	5ma	6ma	7ma
125	11	3NA	4épC	5NA	6NA	7NA
126	11	3NA	4épC	5NA	6NA	7épC
127	11	3NA	4épC	5NA	6NA	7NA
128	10	3ma	4ma	5ma	6NA	7ma
129	11	3NA	4épC	5NA	6NA	7NA
130	10	3NA	4ma	5NA	6ma	7ma
131	10	3NA	4ma	5NA	6ma	7NA
132	10	3NA	4ma	5NA	6épV	7NA
133	10	3NA	4ma	5NA	6NA	7NA
134	11	3NA	4épC	5NA	6NA	7NA
135	11	3NA	4épC	5NA	6NA	7NA
136	11	3NA	4épC	5NA	6épC	7NA
137	11	3NA	4épC	5NA	6NA	7NA
138	10	3ma	4ej	5ly	6NA	7NA
139	10	3NA	4ma	5NA	6NA	7ma
140	12	3NA	4NA	5NA	6NA	7NA
141	11	3NA	4épC	5NA	6NA	7NA
142	11	3NA	4épC	5NA	6NA	7NA
143	12	3NA	4NA	5NA	6NA	7NA
144	11	3NA	4épC	5NA	6NA	7épC
145	11	3NA	4NA	5NA	6NA	7NA
146	10	3NA	4ma	5NA	6ej	7ly
147	11	3NA	4épC	5NA	6NA	7NA
148	11	3NA	4épC	5NA	6NA	7NA
149	10	3NA	4ma	5NA	6ej	7ly
150	10	3NA	4ma	5NA	6ma	7NA
151	11	3NA	4épC	5NA	6NA	7NA
152	10	3NA	4ma	5NA	6NA	7ma
153	10	3ma	4ma	5ma	6NA	7ej
154	11	3NA	4épC	5NA	6NA	7NA
155	10	3NA	4NA	5ma	6NA	7ma
156	12	3NA	4NA	5NA	6NA	7NA
157	10	3NA	4ma	5NA	6ej	7ly
158	10	3NA	4ma	5NA	6NA	7ma
159	10	3NA	4ma	5NA	6ej	7ly
160	10	3NA	4ma	5ma	6ma	7NA
161	10	3ma	4ma	5NA	6ma	7NA
162	10	3NA	4ma	5ma	6NA	7NA
163	10	3NA	4ma	5NA	6NA	7ma
164	10	3NA	4ma	5NA	6NA	7ej
165	10	3NA	4ma	5ma	6NA	7NA
166	10	3NA	4ma	5NA	6ma	7ma
167	10	3NA	4ma	5NA	6ma	7NA
168	11	3NA	4épC	5NA	6NA	7NA
169	10	3NA	4ma	5NA	6NA	7ma
170	11	3NA	4épC	5NA	6NA	7épC
171	11	3NA	4épC	5NA	6NA	7épC
172	10	3ma	4ma	5ma	6NA	7ma
173	11	3NA	4épC	5NA	6NA	7NA
174	10	3NA	4ma	5ma	6NA	7ma
175	11	3NA	4épC	5NA	6NA	7NA
176	10	3NA	4épV	5ma	6NA	7épV
177	10	3ma	4NA	5NA	6NA	7NA
178	11	3NA	4épC	5NA	6NA	7NA
179	10	3NA	4ma	5NA	6NA	7ej
180	11	3NA	4épC	5NA	6NA	7NA
181	10	3NA	4ma	5ma	6ma	7NA
182	11	3NA	4épC	5NA	6NA	7NA
183	11	3NA	4épC	5NA	6NA	7NA
184	11	3NA	4épC	5NA	6NA	7NA
185	11	3NA	4épC	5NA	6NA	7NA
186	10	3NA	4ma	5NA	6ej	7ly
187	10	3ma	4NA	5NA	6ma	7ma
188	10	3NA	4ma	5ma	6NA	7ma
189	9	3NA	4NA	5NA	6NA	7NA
190	11	3NA	4épC	5NA	6NA	7NA
191	10	3NA	4ma	5NA	6ma	7NA
192	10	3ma	4ma	5ej	6ly	7ej
193	10	3NA	4ma	5NA	6NA	7ma
194	11	3NA	4épC	5NA	6NA	7NA
195	11	3NA	4épC	5NA	6NA	7épC
196	10	3NA	4ma	5NA	6ma	7ma
197	12	3NA	4NA	5NA	6NA	7NA
198	11	3NA	4épC	5NA	6NA	7NA
199	10	3NA	4ma	5NA	6NA	7ma
200	10	3NA	4ma	5NA	6ej	7ly
201	12	3NA	4NA	5NA	6NA	7NA
202	9	3NA	4NA	5NA	6NA	7NA
203	12	3NA	4NA	5NA	6NA	7NA
204	10	3NA	4ma	5NA	6ma	7NA
205	10	3NA	4ma	5NA	6NA	7NA
