num_l	meter	ces_3	ces_4	ces_5	ces_6	ces_7
1	10	3NA	4ma	5NA	6NA	7NA
2	10	3NA	4ma	5ma	6NA	7ma
3	10	3NA	4ma	5NA	6ma	7NA
4	10	3NA	4ma	5NA	6NA	7NA
5	10	3NA	4ma	5NA	6ma	7NA
6	12	3NA	4NA	5NA	6NA	7NA
7	11	3NA	4épC	5NA	6NA	7NA
8	10	3ma	4ma	5NA	6NA	7NA
9	10	3NA	4ma	5NA	6ma	7NA
10	10	3NA	4épV	5NA	6ma	7NA
11	10	3NA	4ma	5NA	6NA	7NA
12	10	3NA	4ma	5NA	6ej	7ly
13	10	3NA	4ma	5ma	6NA	7ma
14	11	3NA	4épC	5NA	6NA	7NA
15	10	3NA	4ma	5NA	6NA	7ma
16	11	3NA	4épC	5NA	6épC	7NA
17	10	3NA	4ma	5NA	6ma	7NA
18	10	3ma	4ma	5NA	6NA	7ej
19	10	3ma	4ma	5NA	6NA	7NA
20	10	3ma	4ma	5NA	6NA	7NA
21	11	3NA	4NA	5NA	6NA	7NA
22	10	3NA	4ma	5NA	6NA	7ma
23	10	3NA	4ma	5NA	6NA	7ma
24	10	3ma	4ma	5NA	6ma	7ej
25	11	3NA	4épC	5NA	6NA	7NA
26	10	3NA	4ma	5NA	6NA	7NA
27	11	3NA	4NA	5épC	6NA	7NA
28	11	3NA	4NA	5NA	6NA	7NA
29	11	3NA	4épC	5NA	6NA	7NA
30	10	3NA	4ma	5ma	6NA	7NA
31	10	3NA	4ma	5NA	6ma	7NA
32	10	3NA	4ma	5NA	6NA	7ma
33	11	3NA	4épC	5NA	6NA	7NA
34	10	3NA	4ma	5NA	6ma	7NA
35	10	3NA	4épV	5ma	6NA	7ma
36	10	3ma	4ma	5NA	6ma	7ma
37	11	3NA	4NA	5NA	6NA	7épC
38	10	3NA	4ma	5NA	6ma	7NA
39	10	3NA	4ma	5NA	6NA	7ma
40	11	3NA	4épC	5NA	6NA	7NA
41	10	3NA	4ma	5NA	6ma	7NA
42	10	3ma	4NA	5ma	6ma	7NA
43	11	3NA	4NA	5NA	6NA	7NA
44	10	3ma	4ma	5NA	6NA	7ej
45	10	3NA	4ma	5NA	6ma	7NA
46	10	3NA	4ma	5NA	6ma	7ma
47	10	3NA	4ma	5NA	6NA	7NA
48	11	3NA	4épC	5NA	6NA	7NA
49	10	3NA	4ma	5NA	6ma	7ej
50	10	3NA	4ma	5NA	6ej	7ly
51	10	3NA	4ma	5ma	6NA	7NA
52	10	3NA	4ma	5ma	6ma	7ma
53	10	3NA	4ma	5NA	6ma	7NA
54	10	3NA	4ma	5ma	6NA	7NA
55	10	3NA	4NA	5NA	6ej	7ly
56	10	3ma	4ma	5NA	6NA	7NA
57	11	3NA	4épC	5NA	6NA	7NA
58	10	3ma	4ma	5NA	6NA	7ej
59	10	3NA	4ma	5épV	6NA	7ej
60	10	3NA	4ma	5ma	6ma	7NA
61	10	3NA	4ma	5NA	6ma	7ma
62	10	3NA	4épV	5ma	6NA	7NA
63	10	3NA	4ma	5NA	6ma	7NA
64	10	3NA	4ma	5NA	6NA	7NA
65	10	3NA	4ma	5NA	6NA	7ma
66	10	3NA	4ma	5NA	6NA	7ej
67	10	3NA	4ma	5NA	6NA	7ma
68	10	3NA	4ma	5NA	6NA	7NA
69	10	3NA	4ma	5ma	6NA	7ma
70	10	3NA	4ma	5ma	6NA	7NA
71	10	3NA	4épV	5ma	6ej	7ly
72	10	3NA	4épV	5NA	6ma	7ma
73	10	3NA	4ma	5ma	6NA	7NA
74	10	3NA	4ma	5NA	6NA	7ma
75	10	3NA	4ma	5ma	6NA	7NA
76	10	3NA	4ma	5ma	6NA	7ma
77	11	3NA	4NA	5NA	6NA	7NA
78	10	3NA	4épV	5ma	6NA	7ma
79	11	3NA	4épC	5NA	6NA	7NA
80	10	3NA	4épV	5NA	6ma	7ma
81	11	3NA	4NA	5NA	6NA	7NA
82	10	3NA	4ma	5NA	6ma	7NA
83	11	3NA	4NA	5NA	6NA	7NA
84	10	3NA	4ma	5NA	6ma	7NA
85	10	3NA	4ma	5NA	6NA	7NA
86	10	3NA	4ma	5NA	6NA	7ma
87	11	3NA	4épC	5NA	6NA	7NA
88	10	3NA	4ma	5NA	6ma	7ma
89	11	3NA	4épC	5NA	6NA	7NA
90	10	3NA	4ma	5NA	6ma	7NA
91	10	3ma	4ma	5ma	6ej	7ly
92	10	3NA	4ma	5NA	6NA	7NA
93	10	3ma	4ma	5ej	6ly	7ej
94	11	3NA	4épC	5NA	6NA	7NA
95	10	3NA	4ma	5NA	6ej	7ly
96	11	3NA	4épC	5NA	6NA	7NA
97	10	3ma	4épV	5NA	6ma	7ma
98	11	3NA	4épC	5NA	6NA	7NA
99	10	3NA	4ma	5NA	6ma	7ma
100	10	3NA	4ma	5NA	6NA	7NA
101	10	3NA	4ma	5ma	6ma	7NA
102	10	3NA	4ma	5NA	6ej	7ly
103	11	3NA	4épC	5NA	6NA	7NA
104	10	3NA	4ma	5NA	6ma	7NA
105	10	3NA	4ma	5NA	6NA	7NA
106	10	3NA	4ma	5NA	6ma	7NA
107	11	3NA	4épC	5NA	6NA	7NA
108	11	3NA	4épC	5NA	6NA	7épC
109	10	3ly	4épV	5NA	6ma	7NA
110	10	3ly	4ma	5ej	6ly	7NA
111	11	3NA	4épC	5NA	6NA	7NA
112	10	3NA	4ma	5NA	6ma	7épV
113	11	3NA	4épC	5NA	6NA	7NA
114	10	3NA	4ma	5NA	6NA	7NA
115	10	3NA	4ma	5NA	6ma	7ma
116	10	3NA	4ma	5NA	6ej	7ly
117	10	3NA	4épV	5NA	6ma	7NA
118	10	3NA	4ma	5NA	6NA	7NA
119	11	3NA	4épC	5NA	6NA	7NA
